Name,Category,Key Features,Advantages,Disadvantages,Common Usage/Context,Source
Cover Zero,Coverage,No deep safeties; every defender is either in man-to-man coverage or blitzing.,Devastating pressure on QB; forces split-second decisions; great for sacks on critical 3rd and long.,No deep help; a single missed assignment leads to a touchdown; vulnerable to quick slants/fades.,Critical 3rd and long; Ravens (with Kyle Hamilton) known for this.,1
Cover One,Coverage,One safety patrols deep middle; all other defenders in tight man-to-man coverage (Man-Free).,Shuts down quick short passes; tight coverage makes throwing windows tiny.,Only one safety to prevent a TD if a defender is beaten; fast receivers are a mismatch.,2nd and 3rd downs; Jets' Sauce Gardner thrives here; matchup exploits (speedy slot vs slow LB).,1
Cover One Robber,Coverage,Similar to Cover 1 but a safety/LB lurks 5-10 yards off the line to jump middle routes.,Baits QBs into throwing slants and crossing routes for easy interceptions.,Fewer deep defenders; long passes have more space behind the coverage.,Against quick passing games on 2nd and short; Saints' Justin Reid.,1
Cover Two Zone,Coverage,Two safeties split the deep field (15 yards deep); five defenders in underneath zones.,Swarm to short passes; safeties prevent deep sideline throws (Bend but don't break).,Vulnerable in the deep middle (the seam) and against the run.,2nd downs or pass-heavy offenses; staple of Peyton Manning era Colts.,1
Cover Two Man,Coverage,Two safeties deep; all other defenders play tight man-to-man.,Combines tight man coverage with deep safety help; hard for receivers to gain separation.,Shifty receivers can still beat man; vulnerable to seam/middle routes and mobile QBs.,3rd downs when pass is highly likely; Buccaneers (Jamal Dean).,1
Cover Two Buzz,Coverage,"Shows Cover 3 pre-snap; safety buzzes to flat, corner drops deep; inverts responsibilities.",Defends quick screens well; deceptive; traps QBs reading pre-snap.,Requires fast post-snap adjustment by defenders; can be exploited if QB confirms coverage.,Rams use against teams relying on perimeter plays.,1
Tampa 2,Coverage,Cover 2 variation where the middle linebacker drops deep to cover the middle seam.,Closes the deep middle vulnerability of standard Cover 2; stops TEs attacking the seam.,Vulnerable to quick underneath passes and runs in the area vacated by the LB.,Against TEs like Chiefs' Kelce; 2002 Buccaneers (Derek Brooks).,1
Cover Three,Coverage,"Three defenders (1 safety, 2 corners) each take a deep third; four underneath zones.",Difficult to pass over the top; keeps defenders near line to stop run.,Vulnerable in the intermediate middle and the flats (Sky coverage).,Early downs; Seahawks' Devon Witherspoon.,1
Cover Three Cloud,Coverage,One corner stays shallow (flats/jamming) while a safety rotates to cover their deep third.,Disrupts timing on one side; better run support on the edge; beats big receivers.,Dangerous if safety is slow to rotate; vulnerable to deep posts/go routes from slot.,Against big receivers like Bengals; Eagles (Darius Slay).,1
Cover Three Buzz,Coverage,Shows 2-high safeties (Cover 2 look); post-snap one safety charges down to underneath zone.,Disguised; catches offenses prepared for Cover 2; creates tight underneath windows.,Brief window to attack before safety settles; vulnerable to play action.,Early downs against Cover 2 beaters; Steelers' Minkah Fitzpatrick.,1
